pertanyaan||variasi1||variasi2,jawaban,pasal_referensi
"Apa yang dimaksud dengan Dana Desa?||Definisi Dana Desa apa?||Dana Desa itu apa sih?","Dana Desa adalah bagian dari TKD untuk mendukung pemerintahan, pembangunan, pemberdayaan, dan kemasyarakatan desa.","Pasal 1 ayat (8)"
"Apa itu Transfer ke Daerah (TKD)?||TKD itu apa?||Apa pengertian TKD?","TKD adalah dana dari APBN yang disalurkan ke daerah untuk mendanai urusan pemerintahan daerah.","Pasal 1 ayat (1)"
"Siapa yang dimaksud Pemerintah dalam aturan ini?||Pemerintah itu siapa?||Yang dimaksud Pemerintah Pusat siapa?","Presiden Republik Indonesia yang dibantu Wakil Presiden dan menteri.","Pasal 1 ayat (2)"
"Apa yang dimaksud Pemerintah Desa?||Pemerintah desa terdiri dari siapa?||Siapa yang mengelola desa?","Kepala desa dibantu perangkat desa.","Pasal 1 ayat (6)"
"Apa itu APB Desa?||APB Desa artinya apa?||Anggaran desa disebut apa?","Rencana keuangan tahunan pemerintahan desa.","Pasal 1 ayat (25)"
"Apa itu RKD?||Rekening desa apa namanya?||Dana desa masuk ke mana?","Rekening kas desa untuk menampung penerimaan dan pengeluaran desa.","Pasal 1 ayat (28)"
"Apa itu RKUN?||Rekening negara apa?||Dana negara disimpan di mana?","Rekening kas negara untuk menampung penerimaan dan pengeluaran negara.","Pasal 1 ayat (26)"
"Apa itu RKUD?||Rekening kas daerah itu apa?||Dana daerah disimpan di mana?","Rekening kas daerah untuk menampung penerimaan dan pengeluaran daerah.","Pasal 1 ayat (27)"
"Apa itu Alokasi Dasar?||Alokasi dasar itu apa?||Apa maksud alokasi dasar?","Alokasi yang dibagi proporsional ke setiap desa.","Pasal 1 ayat (9)"
"Apa itu Alokasi Afirmasi?||Alokasi afirmasi untuk siapa?||Apa maksud afirmasi?","Alokasi untuk desa tertinggal atau berisiko tinggi.","Pasal 1 ayat (10)"
"Apa itu Alokasi Kinerja?||Alokasi berbasis kinerja apa?||Kinerja desa dihitung bagaimana?","Alokasi untuk desa dengan kinerja terbaik.","Pasal 1 ayat (11)"
